column_name,human_readable,data_file,data_file_desc,component,sas_label,description,target,var_type,valid_range_min,valid_range_max,sentinel_values,value_labels,hard_edit_notes,parse_notes
DR2_330Z,,DR2TOT_L,"Dietary Interview - Total Nutrient Intakes, Second Day",Dietary,Total tap water drank yesterday (gm),Total tap water drank yesterday - including filtered tap water and water from a drinking fountain.,"Both males and females 0 YEARS -
			150 YEARS",continuous,0.0,17160.0,{},{},Calculated from tap water consumption records reported as part of the 24-hour dietary recall interview.,
DRABF,,DR1IFF_L,"Dietary Interview - Individual Foods, First Day",Dietary,Breast-fed infant (either day),"Indicates whether the sample person was an infant who was breast-fed on either of the two recall 

days.","Both males and females 0 YEARS -
			150 YEARS",binary,1.0,2.0,{},"{""1"": ""Yes"", ""2"": ""No""}",,
DRD340,,DR1TOT_L,"Dietary Interview - Total Nutrient Intakes, First Day",Dietary,Shellfish eaten during past 30 days,"Please look at this list of shellfish. During the past 30 days did you eat any types of shellfish listed on this card? Include any foods that had shellfish in them such as sandwiches, soups, or salads.","Both males and females 1 YEARS -
			150 YEARS",binary,1.0,2.0,"{""7"": ""Refused"", ""9"": ""Don't know""}","{""1"": ""Yes"", ""2"": ""No""}",,
DRD350A,,DR1TOT_L,"Dietary Interview - Total Nutrient Intakes, First Day",Dietary,Clams eaten during past 30 days,Clams eaten during past 30 days,"Both males and females 1 YEARS -
			150 YEARS",binary,1.0,2.0,{},"{""1"": ""Yes"", ""2"": ""No""}",,
DRD350AQ,,DR1TOT_L,"Dietary Interview - Total Nutrient Intakes, First Day",Dietary,# of times clams eaten in past 30 days,Number of times clams were eaten in the past 30 days,"Both males and females 1 YEARS -
			150 YEARS",continuous,1.0,8.0,{},{},,
DRD350B,,DR1TOT_L,"Dietary Interview - Total Nutrient Intakes, First Day",Dietary,Crabs eaten during past 30 days,Crabs eaten during past 30 days,"Both males and females 1 YEARS -
			150 YEARS",binary,1.0,2.0,{},"{""1"": ""Yes"", ""2"": ""No""}",,
DRD350BQ,,DR1TOT_L,"Dietary Interview - Total Nutrient Intakes, First Day",Dietary,# of times crabs eaten in past 30 days,Number of times crab was eaten in the past 30 days,"Both males and females 1 YEARS -
			150 YEARS",continuous,1.0,10.0,{},{},,
DRD350C,,DR1TOT_L,"Dietary Interview - Total Nutrient Intakes, First Day",Dietary,Crayfish eaten during past 30 days,Crayfish eaten during past 30 days,"Both males and females 1 YEARS -
			150 YEARS",binary,1.0,2.0,{},"{""1"": ""Yes"", ""2"": ""No""}",,
DRD350CQ,,DR1TOT_L,"Dietary Interview - Total Nutrient Intakes, First Day",Dietary,# of times crayfish eaten past 30 days,Number of times crayfish was eaten in the past 30 days,"Both males and females 1 YEARS -
			150 YEARS",continuous,1.0,15.0,{},{},,
DRD350D,,DR1TOT_L,"Dietary Interview - Total Nutrient Intakes, First Day",Dietary,Lobsters eaten during past 30 days,Lobsters eaten during past 30 days,"Both males and females 1 YEARS -
			150 YEARS",binary,1.0,2.0,{},"{""1"": ""Yes"", ""2"": ""No""}",,
DRD350DQ,,DR1TOT_L,"Dietary Interview - Total Nutrient Intakes, First Day",Dietary,# of times lobsters eaten past 30 days,Number of times lobster was eaten in the past 30 days,"Both males and females 1 YEARS -
			150 YEARS",continuous,1.0,6.0,{},{},,
DRD350E,,DR1TOT_L,"Dietary Interview - Total Nutrient Intakes, First Day",Dietary,Mussels eaten during past 30 days,Mussels eaten during past 30 days,"Both males and females 1 YEARS -
			150 YEARS",binary,1.0,2.0,{},"{""1"": ""Yes"", ""2"": ""No""}",,
DRD350EQ,,DR1TOT_L,"Dietary Interview - Total Nutrient Intakes, First Day",Dietary,# of times mussels eaten in past 30 days,Number of times mussels were eaten in the past 30 days,"Both males and females 1 YEARS -
			150 YEARS",continuous,1.0,5.0,{},{},,
DRD350F,,DR1TOT_L,"Dietary Interview - Total Nutrient Intakes, First Day",Dietary,Oysters eaten during past 30 days,Oysters eaten during past 30 days,"Both males and females 1 YEARS -
			150 YEARS",binary,1.0,2.0,{},"{""1"": ""Yes"", ""2"": ""No""}",,
DRD350FQ,,DR1TOT_L,"Dietary Interview - Total Nutrient Intakes, First Day",Dietary,# of times oysters eaten in past 30 days,Number of times oysters were eaten in the past 30 days,"Both males and females 1 YEARS -
			150 YEARS",continuous,1.0,9.0,{},{},,
